TB_2 [['8.0', '0.0'], ['7.82', '0.00']]
kanshimi [['7.9', '0.3'], ['7.83', '0.00']]
4nimosity [['41.5', '0.7'], ['7.59', '9.00']]
Poopfarrt [['16.9', '2.7'], ['6.39', '6.80']]
NascaDeBacana [['117.1', '12.5'], ['7.25', '8.40']]
endardirt [['2.7', '0.0'], ['0.00', '0.00']]
Tazuo125 [['106.6', '17.5'], ['7.68', '8.75']]
LittlePandaGR [['29.0', '0.7'], ['7.91', '8.00']]
NecroNoir [['42.7', '7.2'], ['6.86', '8.25']]
OldBabatunde [['102.3', '0.0'], ['6.86', '0.00']]
Fihsh [['23.6', '0.0'], ['8.37', '0.00']]
Orisinho [['61.8', '0.0'], ['6.34', '0.00']]
Trevor3004 [['75.4', '0.0'], ['0.00', '0.00']]
Akeno_Maximo [['25.5', '0.0'], ['8.40', '0.00']]
bruhlol [['13.5', '0.0'], ['8.44', '0.00']]
XMasK11 [['6.9', '0.0'], ['8.80', '0.00']]
Donjulios [['106.3', '3.4'], ['7.06', '9.50']]
furysgamer [['85.1', '0.0'], ['7.86', '0.00']]
skyaoi09 [['32.1', '40.7'], ['7.10', '8.29']]
ecchilord14 [['26.8', '0.0'], ['7.68', '0.00']]
OLMIMIKK [['49.0', '2.8'], ['6.28', '6.82']]
Rosati [['58.0', '10.3'], ['6.01', '6.39']]
Manse_the_great [['52.4', '0.0'], ['6.36', '0.00']]
Felibuui_ [['71.2', '1.2'], ['6.35', '10.00']]
act_ [['100.6', '26.9'], ['10.00', '10.00']]
TheGGray [['59.4', '0.0'], ['7.67', '6.00']]
Ketuizer [['59.3', '0.0'], ['8.36', '0.00']]
totallimi [['0.4', '7.6'], ['9.00', '7.71']]
Infinity273 [['108.8', '6.8'], ['5.64', '8.67']]
nishukee_ [['78.4', '15.8'], ['8.16', '8.67']]
LenoKing [['391.5', '68.9'], ['7.22', '7.36']]
Mikehuntyt [['3.4', '0.0'], ['7.07', '0.00']]
NickCass [['4.4', '0.7'], ['8.56', '8.00']]
waves_ray [['39.0', '0.0'], ['7.57', '0.00']]
Magikrap2020 [['3.5', '0.0'], ['8.38', '0.00']]
Sheyd_Aisaka [['31.8', '0.5'], ['6.27', '8.43']]
Yukkaaa [['35.8', '6.9'], ['7.51', '7.91']]
WhipTails [['129.1', '0.6'], ['8.25', '10.00']]
LABOI [['25.9', '15.6'], ['7.54', '9.29']]
vano03 [['115.6', '15.5'], ['8.30', '9.44']]
Shreduslettuce [['33.8', '2.4'], ['7.67', '7.80']]
Pachelor [['118.2', '0.0'], ['6.92', '0.00']]
_Dobiko [['20.3', '1.3'], ['7.30', '10.00']]
